sentence1,sentence2,similarity
Der Soldat ist verpflichtet in einer Gemeinschaftsunterkunft zu wohnen und an Gemeinschaftsverpflegung teilzunehmen.,Beantragt ein Berufssoldat die Umwandlung seines Dienstverhältnisses in das eines Soldaten auf Zeit kann dem Antrag bei Vorliegen eines dienstlichen Interesses stattgegeben werden. Die Dienstzeit soll die zur Durchführung der Berufsförderung notwendige Zeit der Freistellung vom militärischen Dienst umfassen. Bei der Umwandlung müssen die Voraussetzungen des § 46 Abs. 3 nicht vorliegen.,widerspruch
Der Bundeskanzler ernennt einen Bundesminister zu seinem Stellvertreter. Das Amt des Bundeskanzlers oder eines Bundesministers endigt in jedem Falle mit dem Zusammentritt eines neuen Bundestages.,Der Bundeskanzler ernennt einen Bundesminister zu seinem Stellvertreter.Das Amt des Bundeskanzlers oder eines Bundesministers endigt in jedem Falle mit dem Zusammentritt eines neuen Bundestages das Amt eines Bundesministers auch mit jeder anderen Erledigung des Amtes des Bundeskanzlers.Auf Ersuchen des Bundespräsidenten ist der Bundeskanzler auf Ersuchen des Bundeskanzlers oder des Bundespräsidenten ein Bundesminister verpflichtet die Geschäfte bis zur Ernennung seines Nachfolgers weiterzuführen.,perfekt
Nach billigem Ermessen soll die Leistung festgelegt werden.,Verpflichtet sich in einem Vertrag der eine Teil zur Befriedigung eines Gläubigers des anderen Teils ohne die Schuld zu übernehmen so ist im Zweifel nicht anzunehmen dass der Gläubiger unmittelbar das Recht erwerben soll die Befriedigung von ihm zu fordern.,widerspruch
Schuldner kann Schuldschein fordern.,Ist über die Forderung ein Schuldschein ausgestellt worden so kann der Schuldner neben der Quittung Rückgabe des Schuldscheins verlangen. Behauptet der Gläubiger zur Rückgabe außerstande zu sein so kann der Schuldner das öffentlich beglaubigte Anerkenntnis verlangen dass die Schuld erloschen sei.,perfekt
"Die Geschäftsführung kommt nicht in Betracht, wenn es notwendig ist, um ein öffentliches Interesse zu erfüllen.",Die Vorschriften der §§ 677 bis 686 finden keine Anwendung wenn jemand ein fremdes Geschäft in der Meinung besorgt dass es sein eigenes sei. Behandelt jemand ein fremdes Geschäft als sein eigenes obwohl er weiß dass er nicht dazu berechtigt ist so kann der Geschäftsherr die sich aus den §§ 677 678 681 682 ergebenden Ansprüche geltend machen. Macht er sie geltend so ist er dem Geschäftsführer nach § 684 Satz 1 verpflichtet.,widerspruch
Das Urteil des Berufungsgerichts ist vorläufig vollstreckbar.,Ein nicht oder nicht unbedingt für vorläufig vollstreckbar erklärtes Urteil des Berufungsgerichts ist soweit es durch die Revisionsanträge nicht angefochten wird auf Antrag von dem Revisionsgericht durch Beschluss für vorläufig vollstreckbar zu erklären. Die Entscheidung ist erst nach Ablauf der Revisionsbegründungsfrist zulässig.,perfekt
"Der Nießbraucher muss dies auch wollen, damit der Nießbrauch aufgehoben werden kann.",Der Nießbraucher und der Gläubiger sind einander verpflichtet dazu mitzuwirken dass das eingezogene Kapital nach den für die Anlegung von Mündelgeld geltenden Vorschriften verzinslich angelegt und gleichzeitig dem Nießbraucher der Nießbrauch bestellt wird. Die Art der Anlegung bestimmt der Nießbraucher.,widerspruch
Der Unternehmer trägt die Gefahr bis zur Abnahme des Werkes.,Wird die Reise infolge bei Vertragsabschluss nicht voraussehbarer höherer Gewalt erheblich erschwert gefährdet oder beeinträchtigt so können sowohl der Reiseveranstalter als auch der Reisende den Vertrag allein nach Maßgabe dieser Vorschrift kündigen. Wird der Vertrag nach Absatz 1 gekündigt so findet die Vorschrift des § 651e Abs. 3 Satz 1 und 2 Abs. 4 Satz 1 Anwendung. Die Mehrkosten für die Rückbeförderung sind von den Parteien je zur Hälfte zu tragen. Im Übrigen fallen die Mehrkosten dem Reisenden zur Last.,widerspruch
Zum Antrag muss ein Gesetz zur Grundlage und zur Beweismittel enthalten sein.,In der Hauptverhandlung kann auch der Angeklagte im Beistand eines Rechtsanwalts erscheinen oder sich auf Grund einer schriftlichen Vollmacht durch einen solchen vertreten lassen. Die Vorschrift des § 139 gilt für den Anwalt des Klägers und für den des Angeklagten. Das Gericht ist befugt das persönliche Erscheinen des Klägers sowie des Angeklagten anzuordnen auch den Angeklagten vorführen zu lassen.,widerspruch
Die Erbschaft hat keine Schulden.,"Ist ein Ehegatte durch Krankheit oder Abwesenheit verhindert, bei einem Rechtsgeschäft mitzuwirken, das sich auf das Gesamtgut bezieht, so kann der andere Ehegatte das Rechtsgeschäft vornehmen, wenn mit dem Aufschub Gefahr verbunden ist; er kann hierbei im eigenen Namen oder im Namen beider Ehegatten handeln. Das Gleiche gilt für die Führung eines Rechtsstreits, der sich auf das Gesamtgut bezieht.",widerspruch
Gerichtsvollzieher soll die bewegliche Sache pfänden. Die Vorschriften über die Verwertung gepfändeter Sachen gelten.,Der Pflichtteilsanspruch ist der Pfändung nur unterworfen wenn er durch Vertrag anerkannt oder rechtshängig geworden ist. Das Gleiche gilt für den nach § 528 des Bürgerlichen Gesetzbuchs dem Schenker zustehenden Anspruch auf Herausgabe des Geschenkes sowie für den Anspruch eines Ehegatten oder Lebenspartners auf den Ausgleich des Zugewinns.,widerspruch
"Versteigerung ist erst zulässig, nachdem Empfangsberechtigte in öffentlicher Bekanntmachung des Fundes zur Anmeldung ihrer Rechte unter Bestimmung einer Frist aufgefordert worden sind.","Die Versteigerung ist erst zulässig, nachdem die Empfangsberechtigten in einer öffentlichen Bekanntmachung des Fundes zur Anmeldung ihrer Rechte unter Bestimmung einer Frist aufgefordert worden sind und die Frist verstrichen ist; sie ist unzulässig, wenn eine Anmeldung rechtzeitig erfolgt ist. Die Bekanntmachung ist nicht erforderlich, wenn der Verderb der Sache zu besorgen oder die Aufbewahrung mit unverhältnismäßigen Kosten verbunden ist.",perfekt
Die Ehefrau kann den Anteil an dem gemeinsamen Gesamtgut herabsetzen.,Die Eintragungen in das Güterrechtsregister sind bei jedem Amtsgericht zu bewirken in dessen Bezirk auch nur einer der Ehegatten seinen gewöhnlichen Aufenthalt hat. Die Landesregierungen werden ermächtigt durch Rechtsverordnung einem Amtsgericht für die Bezirke mehrerer Amtsgerichte die Zuständigkeit für die Führung des Registers zu übertragen. Die Landesregierungen können die Ermächtigung durch Rechtsverordnung auf die Landesjustizverwaltungen übertragen.,widerspruch
Pacht ist zu entrichten.,Die Pacht ist am Ende der Pachtzeit zu entrichten. Ist die Pacht nach Zeitabschnitten bemessen so ist sie am ersten Werktag nach dem Ablauf der einzelnen Zeitabschnitte zu entrichten. Der Pächter wird von der Entrichtung der Pacht nicht dadurch befreit dass er durch einen in seiner Person liegenden Grund an der Ausübung des ihm zustehenden Nutzungsrechts verhindert ist. § 537 Abs. 1 Satz 2 und Abs. 2 gilt entsprechend.,perfekt
"Die Berufsbildungsforschung soll Grundlagen der Berufsbildung klären, Inhalte und Ziele der Berufsbildung ermitteln, Weiterentwicklungen der Berufsbildung in Hinblick auf gewandelte wirtschaftliche gesellschaftliche und technische Erfordernisse vorbereiten, Instrumente und Verfahren der Vermittlung von Berufsbildung sowie den Wissens- und Technologietransfer för",Die Berufsbildungsforschung soll 1.Grundlagen der Berufsbildung klären 2.inländische europäische und internationale Entwicklungen in der Berufsbildung beobachten 3.Anforderungen an Inhalte und Ziele der Berufsbildung ermitteln 4.Weiterentwicklungen der Berufsbildung in Hinblick auf gewandelte wirtschaftliche gesellschaftliche und technische Erfordernisse vorbereiten 5.Instrumente und Verfahren der Vermittlung von Berufsbildung sowie den Wissens- und Technologietransfer fördern.,perfekt
Pfandgläubiger kann Pfand offen versteigern.,"Ist der Pfandgläubiger nicht im Alleinbesitz des Pfandes, so kann er nach dem Eintritt der Verkaufsberechtigung die Herausgabe des Pfandes zum Zwecke des Verkaufs fordern. Auf Verlangen des Verpfänders hat anstelle der Herausgabe die Ablieferung an einen gemeinschaftlichen Verwahrer zu erfolgen; der Verwahrer hat sich bei der Ablieferung zu verpflichten, das Pfand zum Verkauf bereitzustellen.",widerspruch
Die Öffentlichkeit darf nicht in die Erlassung von Rechtsverordnungen einbezogen werden.,Luftfahrtunternehmen die ihren Hauptsitz nicht im Geltungsbereich des Luftverkehrsrechts der Europäischen Union haben bedürfen einer Betriebsgenehmigung zur Durchführung von Fluglinienverkehr von und nach der Bundesrepublik Deutschland. § 2 Abs. 9 und § 21 Abs. 1 Satz 2 bis 4 und Abs. 2 und 3 finden entsprechende Anwendung.,widerspruch
"Erblasser kann Testament widerrufen, indem er die Testamentsurkunde vernichtet oder verändert.","Ein Erbvertrag kann nur zur Niederschrift eines Notars bei gleichzeitiger Anwesenheit beider Teile geschlossen werden. Die Vorschriften der § 2231 Nr. 1 und der §§ 2232, 2233 sind anzuwenden; was nach diesen Vorschriften für den Erblasser gilt, gilt für jeden der Vertragschließenden. Für einen Erbvertrag zwischen Ehegatten oder zwischen Verlobten, der mit einem Ehevertrag in derselben Urkunde verbunden wird, genügt die für den Ehevertrag vorgeschriebene Form.",widerspruch
"Bundesministerium der Justiz und für Verbraucherschutz ermächtigt sich, weitere Bestimmungen zum Antrags-Einspruchs-Verfahren (§§ 130 bis 132) zu treffen.",Die zuständige Behörde kann auf Antrag eine andere Ausbildung im Umfange ihrer Gleichwertigkeit bis zu zwei Dritteln der Gesamtstunden der Ausbildung nach Maßgabe der nach § 8 erlassenen Ausbildungs- und Prüfungsverordnung für die Berufe in der Krankenpfleger auf die Dauer einer Ausbildung nach § 4 Abs. 1 anrechnen.,widerspruch
Ich kann einen Strafbefehl gegen mich erheben. mir stehen Beschwerdepunkte zu.,Die Entscheidung über die selbständige Einziehung trifft das Gericht das im Fall der Strafverfolgung einer bestimmten Person zuständig wäre. Für die Entscheidung über die selbständige Einziehung ist örtlich zuständig auch das Gericht in dessen Bezirk der Gegenstand sichergestellt worden ist. § 423 Absatz 1 Satz 2 und § 434 Absatz 2 bis 4 gelten entsprechend.,widerspruch
Gericht entscheidet über selbständige Einziehung.,Die Entscheidung über die selbständige Einziehung trifft das Gericht das im Fall der Strafverfolgung einer bestimmten Person zuständig wäre. Für die Entscheidung über die selbständige Einziehung ist örtlich zuständig auch das Gericht in dessen Bezirk der Gegenstand sichergestellt worden ist. § 423 Absatz 1 Satz 2 und § 434 Absatz 2 bis 4 gelten entsprechend.,perfekt
Nießbraucher und Eigentümer haben gemeinschaftlich das Inhaberpapier oder den Orderpapier zu besitzen.,Ist ein Inhaberpapier oder ein Orderpapier das mit Blankoindossament versehen ist Gegenstand des Nießbrauchs so steht der Besitz des Papiers und des zu dem Papier gehörenden Erneuerungsscheins dem Nießbraucher und dem Eigentümer gemeinschaftlich zu. Der Besitz der zu dem Papier gehörenden Zins- Renten- oder Gewinnanteilscheine steht dem Nießbraucher zu. Zur Bestellung des Nießbrauchs genügt anstelle der Übergabe des Papiers die Einräumung des Mitbesitzes.,perfekt
"Wer einen Wahlschein hat, kann in dem Wahlbezirk wählen, in dem der Wahlschein ausgestellt wurde.",Gewählt wird mit amtlichen Stimmzetteln. Der Wähler gibt 1.seine Erststimme in der Weise ab daß er durch ein auf den Stimmzettel gesetztes Kreuz oder auf andere Weise eindeutig kenntlich macht welchem Bewerber sie gelten soll 2.seine Zweitstimme in der Weise ab daß er durch ein auf den Stimmzettel gesetztes Kreuz oder auf andere Weise eindeutig kenntlich macht welcher Landesliste sie gelten soll.Der Wähler faltet daraufhin den Stimmzettel in der Weise dass seine Stimmabgabe nicht erkennbar ist und wirft ihn in die Wahlurne.,widerspruch
"Die Klage ist zulässig, wenn sie statthaft ist. Wenn nicht, ist sie unzulässig.",Dem Beklagten welcher dem geltend gemachten Anspruch widersprochen hat ist in allen Fällen in denen er verurteilt wird die Ausführung seiner Rechte vorzubehalten. Enthält das Urteil keinen Vorbehalt so kann die Ergänzung des Urteils nach der Vorschrift des § 321 beantragt werden. Das Urteil das unter Vorbehalt der Rechte ergeht ist für die Rechtsmittel und die Zwangsvollstreckung als Endurteil anzusehen.,widerspruch
"Die Reise ist mangelhaft, wenn sie nicht den Anforderungen entspricht. Die Minderung tritt nicht ein, soweit der Reisende den Mangel schuldhaft unterlässt.",Ist die Reise im Sinne des § 651c Abs. 1 mangelhaft so mindert sich für die Dauer des Mangels der Reisepreis nach Maßgabe des § 638 Abs. 3. § 638 Abs. 4 findet entsprechende Anwendung. Die Minderung tritt nicht ein soweit es der Reisende schuldhaft unterlässt den Mangel anzuzeigen.,perfekt
"Der Versicherungsnehmer hat die Rechte, die dem Versicherten aus dem Versicherungsvertrag zustehen. Er darf diese Rechte nur verwalten, wenn er den Versicherten über die Verwaltung seiner Rechte im eigenen Namen informiert. Der Versicherer ist verpflichtet, die Leistung an den Versicherungsnehmer zu erbringen, wenn der Versicherte seine Zustimmung",Der Versicherungsnehmer kann über die Rechte die dem Versicherten aus dem Versicherungsvertrag zustehen im eigenen Namen verfügen. Ist ein Versicherungsschein ausgestellt ist der Versicherungsnehmer ohne Zustimmung des Versicherten zur Annahme der Leistung des Versicherers und zur Übertragung der Rechte des Versicherten nur befugt wenn er im Besitz des Versicherungsscheins ist. Der Versicherer ist zur Leistung an den Versicherungsnehmer nur verpflichtet wenn der Versicherte seine Zustimmung zu der Versicherung erteilt hat.,perfekt
Verpächter kann für die Dauer der Vorenthaltung Pacht verlangen.,Gibt der Pächter die Pachtsache nach Beendigung des Pachtverhältnisses nicht zurück so kann der Verpächter für die Dauer der Vorenthaltung als Entschädigung die vereinbarte Pacht verlangen. Die Geltendmachung eines weiteren Schadens ist nicht ausgeschlossen.,perfekt
Die Auslobung kann nach dem Erlass entweder widerrufen oder vor der Vornahme der Handlung gebrochen werden.,"Der Auftrag erlischt im Zweifel nicht durch den Tod oder den Eintritt der Geschäftsunfähigkeit des Auftraggebers. Erlischt der Auftrag, so hat der Beauftragte, wenn mit dem Aufschub Gefahr verbunden ist, die Besorgung des übertragenen Geschäfts fortzusetzen, bis der Erbe oder der gesetzliche Vertreter des Auftraggebers anderweit Fürsorge treffen kann; der Auftrag gilt insoweit als fortbestehend.",widerspruch
"Widerspruch wird zurückgewiesen, wenn Gebühr nicht innerhalb der gesetzten Frist entrichtet wird.",Der Widerspruch gilt als zurückgenommen wenn die Gebühr nach § 46 nicht innerhalb der gesetzten Frist entrichtet ist. Die Zahlungsfrist und die Folgen ihrer Nichteinhaltung sind in der Anforderung zu vermerken. Der Widerspruch kann ohne mündliche Verhandlung zurückgewiesen werden wenn der Berufungsausschuß die Zurückweisung einstimmig beschließt. Die Vorschriften der §§ 36 bis 43 gelten entsprechend.,perfekt
"Gerichtsstand der Erbschaft ist der Bezirk des Gerichts, in dem der Nachlass noch ganz oder teilweise im Bezirk des Gerichts befindet.",In dem Gerichtsstand der Erbschaft können auch Klagen wegen anderer Nachlassverbindlichkeiten erhoben werden solange sich der Nachlass noch ganz oder teilweise im Bezirk des Gerichts befindet oder die vorhandenen mehreren Erben noch als Gesamtschuldner haften.,perfekt
"Schenker kann fordern, das Geschenk zur Hälfte zurückerstatten zu lassen, wenn das Geschenk zur Vollziehung der Auflage hätte verwendet werden müssen.",Der Mieter kann vom Vermieter Aufwendungen auf die Mietsache die der Vermieter ihm nicht nach § 536a Abs. 2 zu ersetzen hat nach den Vorschriften über die Geschäftsführung ohne Auftrag ersetzt verlangen. Der Mieter ist berechtigt eine Einrichtung wegzunehmen mit der er die Mietsache versehen hat.,widerspruch
